// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	       923	       561
       100	     10000	       936	       303
      1000	     10000	       624	       373
        10	     20000	       277	       705
       100	     20000	       250	      1224
      1000	     20000	       205	       232
     10000	     20000	       232	       834
        10	     30000	       258	       209
       100	     30000	       270	       261
      1000	     30000	       271	       352
     10000	     30000	       293	       823
        10	     40000	       481	       279
       100	     40000	       403	       294
      1000	     40000	       354	       439
     10000	     40000	       395	       817
        10	     50000	       423	       392
       100	     50000	       450	       408
      1000	     50000	       437	       347
     10000	     50000	       500	       369
        10	     60000	       524	       468
       100	     60000	       533	       452
      1000	     60000	       536	       419
     10000	     60000	       583	       448
        10	     70000	       664	       494
       100	     70000	       620	       494
      1000	     70000	       686	       511
     10000	     70000	       817	       618
        10	     80000	       719	       643
       100	     80000	       782	       604
      1000	     80000	       722	       611
     10000	     80000	       773	       565
        10	     90000	       933	       634
       100	     90000	       787	       631
      1000	     90000	       799	       650
     10000	     90000	       950	       682
        10	    100000	       881	       723
       100	    100000	       999	       729
      1000	    100000	       909	       699
     10000	    100000	      1139	       747
        10	    110000	      1024	       819
       100	    110000	      1571	       782
      1000	    110000	      1102	       841
     10000	    110000	      1569	       953
        10	    120000	      1049	       943
       100	    120000	      1072	      1209
      1000	    120000	      1161	       904
     10000	    120000	      1186	       859
        10	    130000	      1222	       898
       100	    130000	      1341	       909
      1000	    130000	      1176	       950
     10000	    130000	      1396	       935
        10	    140000	      1362	       979
       100	    140000	      1393	      1219
      1000	    140000	      1385	       970
     10000	    140000	      1441	       946
        10	    150000	      1322	      1035
       100	    150000	      1267	      1034
      1000	    150000	      1332	      1110
     10000	    150000	      1453	      1052
        10	    160000	      1401	      1245
       100	    160000	      1370	      1201
      1000	    160000	      1407	      1102
     10000	    160000	      1791	      1056
        10	    170000	      1488	      1353
       100	    170000	      1658	      1675
      1000	    170000	      1611	      1363
     10000	    170000	      1759	      1698
        10	    180000	      1649	      1254
       100	    180000	      1616	      1256
      1000	    180000	      1642	      1245
     10000	    180000	      1790	      1197
        10	    190000	      1737	      1319
       100	    190000	      1676	      1325
      1000	    190000	      1807	      1631
     10000	    190000	      1876	      1260
        10	    200000	      1732	      1416
       100	    200000	      1733	      1377
      1000	    200000	      1786	      1596
     10000	    200000	      2087	      1307
    100000	    200000	      3180	      1521
        10	    210000	      1773	      1659
       100	    210000	      1834	      1464
      1000	    210000	      1840	      1477
     10000	    210000	      2107	      1412
    100000	    210000	      3375	      1628
        10	    220000	      2120	      1521
       100	    220000	      1950	      1513
      1000	    220000	      1971	      1543
     10000	    220000	      2087	      1503
    100000	    220000	      3551	      1516
        10	    230000	      1941	      1859
       100	    230000	      1982	      1588
      1000	    230000	      2074	      1601
     10000	    230000	      2247	      1509
    100000	    230000	      3698	      1529
        10	    240000	      2971	      1670
       100	    240000	      2323	      1660
      1000	    240000	      2118	      1787
     10000	    240000	      2328	      1619
    100000	    240000	      3898	      1572
        10	    250000	      2526	      1742
       100	    250000	      2243	      1735
      1000	    250000	      2521	      1760
     10000	    250000	      2385	      1661
    100000	    250000	      5113	      1710
        10	    260000	      2407	      1794
       100	    260000	      2383	      1793
      1000	    260000	      2263	      1898
     10000	    260000	      2464	      1694
    100000	    260000	      4251	      1715
        10	    270000	      2272	      1864
       100	    270000	      2327	      1865
      1000	    270000	      2872	      1860
     10000	    270000	      2609	      1763
    100000	    270000	      4397	      1753
        10	    280000	      2589	      1938
       100	    280000	      2644	      1942
      1000	    280000	      2444	      1934
     10000	    280000	      2680	      1833
    100000	    280000	      4568	      4211
        10	    290000	      2463	      2007
       100	    290000	      2533	      2013
      1000	    290000	      2540	      2351
     10000	    290000	      2743	      2172
    100000	    290000	      4686	      1720
        10	    300000	      3165	      2111
       100	    300000	      2753	      2075
      1000	    300000	      2710	      2533
     10000	    300000	      2923	      1942
    100000	    300000	      4956	      1730
        10	    310000	      2817	      2601
       100	    310000	      2896	      2659
      1000	    310000	      2765	      2567
     10000	    310000	      3202	      2454
    100000	    310000	      5316	      2093
        10	    320000	      2917	      2256
       100	    320000	      2722	      3052
      1000	    320000	      2852	      2206
     10000	    320000	      3052	      2081
    100000	    320000	      5814	      1786
        10	    330000	      2838	      2297
       100	    330000	      3100	      2287
      1000	    330000	      2892	      2278
     10000	    330000	      3570	      2343
    100000	    330000	      5688	      1830
        10	    340000	      2920	      2438
       100	    340000	      2903	      2429
      1000	    340000	      2957	      2464
     10000	    340000	      3253	      2329
    100000	    340000	      5742	      1897
        10	    350000	      3095	      2423
       100	    350000	      3172	      2538
